time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
35.05604600906372,-3,-4,-5,-5,-6,-4,-5,-7,1
35.05604958534241,5,4,2,3,0,0,2,5,1
35.079833984375,1,1,1,0,1,-3,-1,2,1
35.079840660095215,-3,-3,0,2,0,0,-3,-5,1
35.08840823173523,1,2,1,1,0,1,2,0,1
35.08841609954834,-5,-6,-5,-6,-6,-2,-1,-2,1
35.09151029586792,0,-2,0,1,-1,-3,-4,1,1
35.09151577949524,-2,2,-3,-2,0,-1,-4,-5,1
35.10175442695618,2,1,6,6,4,1,4,1,1
35.101759910583496,1,3,-3,0,3,0,0,-1,1
35.11724853515625,-5,-4,-5,-7,-5,-1,-2,-2,1
35.11725330352783,0,1,3,4,3,2,2,3,1
35.11825776100159,-1,-1,1,1,3,2,1,-1,1
35.11826157569885,3,1,-4,-3,-3,-4,-2,3,1
35.135157346725464,-1,0,0,2,1,-1,1,0,1
35.135162591934204,0,-1,0,4,1,3,2,2,1
35.13908576965332,-8,-5,-10,-16,-11,-7,-11,-7,1
35.13909149169922,-4,-7,3,7,5,4,4,-3,1
35.15404152870178,9,12,5,9,7,4,3,3,1
35.15404653549194,-2,-3,-6,-9,-6,-4,-5,-1,1
35.16169500350952,-2,-3,-1,1,3,1,2,-3,1
35.1616997718811,-4,-3,-3,-8,-6,-5,-13,-4,1
35.17733812332153,-1,0,2,5,2,-1,1,-2,1
35.177345514297485,-2,-4,-4,-9,-7,-2,0,-6,1
35.1788284778595,0,0,0,-2,-3,-3,0,1,1
35.1788330078125,-2,1,0,0,0,-2,-1,1,1
35.193549394607544,1,0,2,1,-3,0,2,0,1
35.19355392456055,0,-1,-2,-2,3,0,-3,-2,1
35.19951677322388,-2,-4,-4,-9,-7,-3,-6,-4,1
35.19952321052551,0,-1,2,-1,0,0,-1,2,1
35.21348166465759,-3,0,2,4,5,2,4,-2,1
35.2134850025177,-1,-2,-3,-1,-3,-3,-3,-3,1
35.2218713760376,4,4,1,2,1,-2,3,2,1
35.221877336502075,-4,-6,-5,-13,-12,-4,-7,-6,1
35.237496852874756,1,-2,2,3,3,1,3,3,1
35.23750138282776,1,3,1,0,0,0,4,1,1
35.238436698913574,0,1,2,3,4,1,-3,-3,1
35.2384397983551,0,1,0,4,3,2,3,0,1
35.2533016204834,-7,-5,-5,-5,-5,-2,-5,-2,1
35.25330662727356,4,4,-1,-4,-1,-3,1,3,1
35.25898742675781,-5,-3,-1,2,0,0,0,-4,1
35.258991956710815,1,1,-2,0,2,1,1,2,1
35.27397656440735,-4,-2,-2,-4,-4,0,-3,-3,1
35.27398157119751,-1,-2,0,0,-5,-6,-7,0,1
35.281670331954956,5,3,1,5,6,4,6,8,1
35.28167462348938,-3,-3,-4,-5,-4,-1,-4,-9,1
35.29715633392334,12,7,4,6,2,1,2,10,1
35.29716157913208,0,-2,-3,-4,-3,3,1,4,1
35.29824876785278,-2,-1,-2,2,2,2,2,-1,1
35.29825234413147,3,0,0,-1,-3,-2,0,5,1
35.313257694244385,2,0,2,5,6,2,3,-2,1
35.31326150894165,-1,-2,-2,-9,-10,-9,-7,-7,1
35.31884980201721,-2,-2,-3,-5,-4,1,-1,0,1
35.31885266304016,6,6,6,4,4,2,3,7,1
35.334004640579224,-4,-5,-8,-9,-4,-2,-1,-3,1
35.334009408950806,-1,0,3,7,5,3,1,1,1
35.34977173805237,0,0,3,3,0,-3,-3,-4,1
35.349777698516846,-3,-1,-4,-6,-4,-5,-6,-4,1
35.357797622680664,-3,-3,-2,-4,0,-2,-3,-6,1
35.357802391052246,-2,-3,-1,3,3,4,3,2,1
35.35945224761963,3,4,0,1,0,-2,1,1,1
35.359461069107056,2,-2,-3,-6,-4,1,2,-2,1
35.373870849609375,-6,-4,0,0,-2,-4,-14,-15,1
35.3738751411438,4,4,2,6,7,3,7,4,1
35.37893891334534,2,1,5,5,2,-2,0,-1,1
35.37894344329834,-3,-5,-4,-6,-2,-1,-1,2,1
35.395726919174194,3,1,-1,-2,0,3,3,0,1
35.39573121070862,-2,-2,0,3,1,1,1,-1,1
35.41016507148743,4,3,2,6,5,3,2,1,1
35.41017031669617,1,2,2,5,3,0,0,1,1
35.41747784614563,-4,-10,-10,-18,-17,-10,-11,-3,1
35.41748571395874,-1,1,4,7,7,3,2,2,1
35.41888642311096,0,0,-1,-2,0,0,4,3,1
35.418890714645386,0,-2,0,2,0,-2,0,0,1
35.43359875679016,-3,-4,-2,0,-3,-4,-2,-2,1
35.43360376358032,6,2,0,-4,-5,-3,-5,2,1
35.44772672653198,-5,-4,-3,-8,-4,-3,-2,-3,1
35.4477334022522,0,1,2,3,2,1,-1,-2,1
35.454113245010376,0,1,0,5,4,3,0,3,1
35.45411825180054,-3,-3,-2,-2,-3,-2,4,1,1
35.46162128448486,-3,-6,-3,-5,-2,-1,-5,-7,1
35.4616265296936,-2,0,-1,2,1,1,-3,0,1
35.47724986076355,0,1,0,1,2,1,3,1,1
35.47725486755371,1,2,1,3,2,1,0,3,1
35.47822976112366,0,0,-1,-5,-7,-7,-8,-7,1
35.478233337402344,-6,-7,-3,-1,3,1,1,-4,1
35.49360275268555,4,0,1,2,0,1,2,1,1
35.49360704421997,-4,-4,-1,2,2,1,0,-3,1
35.49894666671753,-1,1,-5,-10,-8,-5,-3,0,1
35.49895119667053,-1,-2,2,4,-1,0,-4,-6,1
35.514018058776855,2,5,2,5,3,-1,0,1,1
35.5140221118927,-1,-2,-2,-3,-2,0,1,-2,1
35.52163600921631,0,-1,1,5,2,0,1,3,1
35.521639585494995,-2,-4,-5,-6,-6,-4,-4,-1,1
35.537118673324585,1,-1,-3,-6,-3,3,2,2,1
35.53712320327759,0,0,1,6,5,1,1,-3,1
35.53806209564209,-1,-3,-6,-13,-13,-7,-9,-5,1
35.53806471824646,1,-1,-2,-3,-1,3,3,1,1
35.554425954818726,-1,-1,0,0,0,0,1,0,1
35.55443263053894,-2,0,4,5,3,3,3,0,1
